Mt ore,%Pb,%Zn,g/t Ag
7.1,1.2,1.9,
12.0,2.07,6.5,
38.0,2.33,3.52,
1.6,3.6,18.4,
11.5,2.6,2.1,95.0
68.6,1.1,4.6,
6.58504,,1.65,
8.82,4.455510204081633,4.556394557823129,98.34013605442176
1786.0,0.01,0.02217805151175812,1.8782194848824187
201.10000000000002,0.7895624067628045,,116.57135753356539
59.25,0.33398987341772146,0.8975139240506329,20.053134177215192
33.6,,1.4988690476190478,172.07440476190476
1.2,1.67,4.48,104.0
16.3296,1.0,2.2,10.0
13.399999999999999,0.12089552238805973,1.7435820895522391,42.985373134328356
4.5,1.71,4.96,8.1
15.4,1.1,1.21,92.1
96.7,2.9,2.4,15.0
0.056719,1.22,4.41,32.7
5.8,4.0,0.5,40.0
0.876831,,1.97,6.0
0.91,1.7,4.2,31.059375124956194
12.2,0.56,,
2.976637,2.1415765161813343,5.057954659593077,39.29066376374061
0.095,2.08,,
2.5,1.2,2.0,36.0
2.545049,1.1,3.75,39.61
2.771,,9.6,139.0
88.0,0.29,0.39,47.4
21.7,7.0,9.2,89.0
16.503,5.147355026358843,6.60997394413137,89.09580076349754
20.5,1.1,2.0,9.0
54.5,3.094935779816514,0.6040917431192661,12.143120567375886
1.0,6.5,11.0,
0.11699999999999999,3.142735042735043,9.093162393162395,47.35897435897436
3.175,0.76,3.3,101.0
96.3,4.865659397715473,2.9767912772585667,163.6957424714434
0.03495,6.2,1.37,
17.6,10.059090909090909,1.4846590909090907,37.28409090909091
1.22,0.4,0.7,8.1
3.061798,2.1,1.48,45.7
3.1304010000000004,1.2571781378807376,0.5637470502980289,95.44283617338483
7.8,1.0,4.2,
0.762,0.3,9.99,14.5
1.75,,2.05,8.5
19.93,0.2,0.5,16.4
63.0,1.8079365079365077,12.095238095238095,31.523809523809526
3.4,0.647,1.697,14.0
17.0,1.2,,10.0
4.7,0.2,4.5,19.0
17.4,4.93448275862069,7.7603448275862075,73.58045977011496
0.00742,6.7,3.7,343.0
11.868,2.0,3.24,11.14
0.562,,1.4,36.4
0.694,1.4,30.2,
0.425,6.258823529411764,11.352941176470589,112.29411764705883
26.1,0.28505747126436776,3.855172413793103,35.22222222222222
0.45,1.5,1.25,100.0
0.067,0.73,0.25,16.0
0.2,,5.0,
0.75,4.132000000000001,6.990666666666667,104.06666666666668
9.5,3.0,2.5,104.0
2.444,2.8,3.8,16.7
0.215,1.5,1.3,23.0
4.7,2.0170212765957447,4.81063829787234,48.106382978723396
0.475,,2.8,39.0
1.0,2.58,2.21,73.2
10.4,0.2,2.7,1.0
6.3,,3.3,12.1
2.75,1.0,1.3,24.0
21.8,0.44935779816513766,0.9422018348623854,47.027522935779814
5.75,,0.34747826086956524,2.3021043478260865
5.1579999999999995,,1.8769988367584336,
14.27,5.727512263489839,16.0697967764541,97.4989488437281
14.99,4.28,4.686,16.0
1.8,1.4,5.1,82.0
6.619999999999999,1.420392749244713,2.4244712990936557,69.14199395770393
0.657,0.3,3.7,35.9
51.1,4.314677103718198,,
1.354,,6.04,3.4
1.8,,4.4,
0.574,5.1,1.9,60.0
