Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Albania,Kukes-Krume-Lure,,,unknown,Measured,0,
Albania,Kukes-Krume-Lure,,,unknown,Indicated,0,
Albania,Kukes-Krume-Lure,,,unknown,Inferred,81.1,1.01
Albania,Librazhd-Pogradec,,,unknown,Measured,0,
Albania,Librazhd-Pogradec,,,unknown,Indicated,0,
Albania,Librazhd-Pogradec,,,unknown,Inferred,130.0,0.86
Albania,Devolli Group,,,unknown,Measured,0,
Albania,Devolli Group,,,unknown,Indicated,0,
Albania,Devolli Group,,,unknown,Inferred,166.3,0.84
Argentina,Las Aguilas,,,Marifil Mines,Measured,0,
Argentina,Las Aguilas,,,Marifil Mines,Indicated,4.224,0.36
Argentina,Las Aguilas,,,Marifil Mines,Inferred,2.005,0.33
Australia,Stanton,,,Northern Cobalt,Measured,0,
Australia,Stanton,,,Northern Cobalt,Indicated,0.692,0.07
Australia,Stanton,,,Northern Cobalt,Inferred,0.25,0.04
Australia,Avebury,,,Dundas Mining,Measured,3.8,1.1
Australia,Avebury,,,Dundas Mining,Indicated,4.9,0.9
Australia,Avebury,,,Dundas Mining,Inferred,20.7,0.8
Australia,Mount Fitch (Ni-Cu-Co),,,China Minmetals,Measured,0,
Australia,Mount Fitch (Ni-Cu-Co),,,China Minmetals,Indicated,4.0,0.13
Australia,Mount Fitch (Ni-Cu-Co),,,China Minmetals,Inferred,1.3,0.11
Australia,Sherlock Bay,,,"Sabre Resources, Metals Australia",Measured,12.5,0.38
Australia,Sherlock Bay,,,"Sabre Resources, Metals Australia",Indicated,6.1,0.59
Australia,Sherlock Bay,,,"Sabre Resources, Metals Australia",Inferred,6.1,0.27
Australia,Bamboo Creek,,,"Kitchener Mining50%, Destra25%, Haoma Mining25%",Measured,0,
Australia,Bamboo Creek,,,"Kitchener Mining50%, Destra25%, Haoma Mining25%",Indicated,0,
Australia,Bamboo Creek,,,"Kitchener Mining50%, Destra25%, Haoma Mining25%",Inferred,1.025,0.8
Australia,Murrin Murrin,,,Glencore,Measured,138.4,1.01
Australia,Murrin Murrin,,,Glencore,Indicated,75.5,0.99
Australia,Murrin Murrin,,,Glencore,Inferred,17,0.9
Australia,KNP East-Bulong: Taurus,,,Ardea Resources,Measured,0,
Australia,KNP East-Bulong: Taurus,,,Ardea Resources,Indicated,0,
Australia,KNP East-Bulong: Taurus,,,Ardea Resources,Inferred,14.2,0.84
Australia,KNP East-Bulong: Bulong East,,,Ardea Resources,Measured,0,
Australia,KNP East-Bulong: Bulong East,,,Ardea Resources,Indicated,15.9,1.06
Australia,KNP East-Bulong: Bulong East,,,Ardea Resources,Inferred,24.0,0.79
Australia,Lake Yindarlgooda,,,Fireant Resources,Measured,0,
Australia,Lake Yindarlgooda,,,Fireant Resources,Indicated,0,
