Country,Project,Location,,Company,Mineral Resources (including reserves),,,,,,Source,Mineral,Mineral,Mineral,Mineral
,,Lat,Long,,Measured,,Indicated,,Inferred,,,Deposit Type,Deposit Type,Deposit Type,Deposit Type
,,,,,Mt,%Ni,Mt,%Ni,Mt,%Ni,,Primary,Secondary,Other Notes,Other Notes
Albania,Kukes-Krume-Lure,,,unknown,0,,0,,81.1,1.01,pers. comm. Sokol Mati,Laterite,Clay silicate-oxide-hydrous Mg silicate,Clay silicate-oxide-hydrous Mg silicate,
Albania,Librazhd-Pogradec,,,unknown,0,,0,,130,0.86,pers. comm. Sokol Mati,Laterite,Clay silicate-oxide-hydrous Mg silicate,Clay silicate-oxide-hydrous Mg silicate,
Albania,Devolli Group,,,unknown,0,,0,,166.3,0.84,pers. comm. Sokol Mati,Laterite,Clay silicate-oxide-hydrous Mg silicate,Clay silicate-oxide-hydrous Mg silicate,
Argentina,Las Aguilas,,,Marifil Mines,0,,4.224,0.36,2.005,0.33,Tech Rep (2011-06),Magmatic Sulphide,Small M-UM Intrusion-related,,
Australia,Stanton,,,Northern Cobalt,0,,0.692,0.07,0.25,0.04,Ahmad & Khan (2013),Hydrothermal Ni,Sediment-hosted Stratiform Cu,,
Australia,Avebury,,,Dundas Mining,3.8,1.1,4.9,0.9,20.7,0.8,ResV-ResC 2016,Hydrothermal Ni,Skarn,,
Australia,Mount Fitch (Ni-Cu-Co),,,China Minmetals,0,,4,0.13,1.3,0.11,QR 2008-06,Hydrothermal Ni,Unconformity-related Uranium,,
Australia,Sherlock Bay,,,"Sabre Resources, Metals Australia",12.5,0.38,6.1,0.59,6.1,0.27,AR 2018,Hydrothermal Ni,,,
Australia,Bamboo Creek,,,"Kitchener Mining50%, Destra25%, Haoma Mining25%",0,,0,,1.025,0.8,WA MINEDEX,Hydrothermal Ni,,,
Australia,Murrin Murrin,,,Glencore,138.4,1.01,75.5,0.99,17,0.9,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,KNP East-Bulong: Taurus,,,Ardea Resources,0,,0,,14.2,0.84,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,KNP East-Bulong: Bulong East,,,Ardea Resources,0,,15.9,1.06,24,0.79,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,Lake Yindarlgooda,,,Fireant Resources,0,,0,,1,1,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Hepi,,,GME Resources,1.6,1.2,1.5,1.01,1.4,0.95,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Mount Kilkenny,,,GME Resources,8.8,1.1,12.7,1.09,4.5,0.98,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Eucalyptus,,,GME Resources,0,,23.7,1.04,12.8,0.95,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Wanbanna,,,GME Resources,0,,10.1,1.03,0.7,0.99,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Murrin North,,,GME Resources,3.4,0.98,0.1,0.88,0.1,0.86,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Waite Kauri,,,GME Resources,1.5,1.01,0.3,0.91,0,,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Mertondale,,,GME Resources,0,,1.9,0.98,0,,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,Coronation Dam-Duck Hill,,,White Cliff Minerals,0,,0,,5.7,1,media 25 March 2019,Laterite,Clay silicate,Clay silicate,
Australia,NiWest-Macey Hill,,,unknown,0,,0,,0.3,1.4,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,Ghan Well,,,White Cliff Minerals,0,,0,,1.3,0.9,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,Pyke Hill,,,"Cougar Metals, Admiralty Resources",4.2,1,6.3,0.98,0,,AR 2018,Laterite,Clay silicate,Clay silicate,
Australia,Pelican,,,GSM Mining Company,0,,0,,5.39,0.963,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,Larkins Find,,,Golden Life Nature Products (WA),0,,0,,5.2,0.8,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,Mount Clifford-Marriotts,,,Norwest Minerals,0,,0.46,1.12,0.37,1.15,WA MINEDEX,Laterite,Clay silicate,Clay silicate,
Australia,Marlborough Group,,,Gladstone Pacific Nickel (?),11.68,0.99,42.96,0.91,16.26,0.88,"AR 2007, 2008",Laterite,Clay silicate-Hydrous Mg silicate-oxide,Clay silicate-Hydrous Mg silicate-oxide,
Australia,KNP East-Hampton: Kalpini (Lake Rebecca),,,Ardea Resources,0,,0,,75,0.73,AR 2018,Laterite,Clay silicate-Oxide,Clay silicate-oxide,
Australia,Yerilla East / West,,,Glencore,0,,0,,7.782,1,WA MINEDEX,Laterite,Clay silicate-Oxide,Clay silicate-oxide,
Australia,Patch-Gulch (Canegrass),,,Nickelore,0,,2.6,0.78,27,0.7,WA MINEDEX,Laterite,Clay silicate-oxide,Clay silicate-oxide,
Australia,Kurnalpi-Grey Dam,,,Carnavale Resources,0,,10.4,0.76,4.2,0.74,AR 2018,Laterite,Clay silicate-Oxide,Clay silicate-oxide,
Australia,Barnes Hill,,,unclear,0,,5.67,0.82,0.93,0.77,AR 2011,Laterite,Clay silicate-oxide,Clay silicate-oxide,
Australia,Binti Binti,,,Pioneer Resources,0,,0,,2.8,0.91,WA MINEDEX,Laterite,Clay silicate-Oxide,Clay silicate-oxide,
Australia,Lake Innes (Hurll's Hill),,,unknown,0,,0,,19.2,0.63,GA AMA,Laterite,Clay silicate-Oxide,,
Australia,Kurnalpi-Acra,,,Glencore,0,,0,,0.5,0.75,WA MINEDEX,Laterite,Clay silicate-Oxide,Clay silicate-oxide,
Australia,Goongarrie South (Fe),,,Ardea Resources,0,,29.831,0.8,18.627,0.42,WA MINEDEX,Laterite,Clay silicate-Oxide,,
Australia,Wyo Well,,, Connor Brendan Gabriel ,0,,0,,0.7,0.83,WA MINEDEX,Laterite,Clay silicate-oxide,,
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",0,,88,0.86,81.8,0.79,WA MINEDEX,Laterite,Hydrous Mg silicate-oxide-clay silicate,Hydrous Mg silicate-oxide-clay silicate,
Australia,Gordonbrook-Bungonia,,,unknown,0,,0,,0.078,0.3,AR 2009,Laterite,Oxide,,
Australia,KNP West-Goongarrie: Big Four,,,Ardea Resources,0,,34.2,0.71,7.6,0.61,AR 2018,Laterite,Oxide,Oxide,
Australia,KNP West-Goongarrie: Goongarrie South,,,Ardea Resources,5.8,1.08,51.4,0.78,25.8,0.63,AR 2018,Laterite,Oxide,Oxide,
Australia,KNP West-Goongarrie: Highway,,,Ardea Resources,0,,52.9,0.66,34.1,0.64,AR 2018,Laterite,Oxide,Oxide,
Australia,KNP West-Goongarrie: Scotia,,,Ardea Resources,0,,0,,11.2,0.77,AR 2018,Laterite,Oxide,Oxide,
Australia,Ravensthorpe,,,First Quantum,86.8,0.63,141.9,0.58,110,0.52,AIF 2018,Laterite,Oxide,Oxide,
Australia,Wingellina,,,Metals X,37.6,0.98,130.9,0.91,14.1,0.87,QR 2018-06,Laterite,Oxide,Oxide,
Australia,Pacific Highway,,,unclear,0,,0,,0.697,0.9,media 6 June 2018,Laterite,Oxide,Oxide,
Australia,Limeburners Flat,,,unclear,0,,0,,1.01,0.51,NSW Exploration Report,Laterite,Oxide,Oxide,
Australia,Pitkin-State Forest,,,unclear,0,,0,,1.12,0.33,NSW Exploration Report,Laterite,Oxide,Oxide,
Australia,State Forest Lot 3,,,unclear,0,,0,,1.32,0.44,NSW Exploration Report,Laterite,Oxide,Oxide,
Australia,Cawse,,,Wingstar Investments (?),0,,55.518,0.717,0,,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,Claude Hills,,,Metals X,0,,0,,33.3,0.81,AR 2018,Laterite,Oxide,Oxide,
Australia,Mount Thirsty,,,"Barra Resources50%, Conico50%",0,,16.6,0.6,15.34,0.51,AR 2018,Laterite,Oxide,Oxide,
Australia,Nindilbillup Group,,,Australasian Mining,0,,0,,49,0.56,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,Sconi North-Bell Creek Group,,,Australian Mines,7.8,0.96,5,0.83,0,,media 21 Oct. 2013,Laterite,Oxide,Oxide,
Australia,Sconi South-Kokomo,,,Australian Mines,2.2,0.57,17.2,0.56,10.2,0.36,media 21 Oct. 2013,Laterite,Oxide,Oxide,
Australia,Sconi North-Minnimoolka,,,Australian Mines,4.7,0.82,0.9,0.78,0,,media 21 Oct. 2013,Laterite,Oxide,Oxide,
