Cut-Off (% Zinc),Category,Tons,% Zinc
>10%,Measured,543000,16.15
>10%,Indicated,840600,16.27
>10%,M&I,1383600,16.22
>10%,Inferred,1499200,16.02
>9%,Measured,617500,15.34
>9%,Indicated,962500,15.42
>9%,M&I,1580000,15.39
>9%,Inferred,1772600,15.01
>8%,Measured,696100,14.57
>8%,Indicated,1080000,14.67
>8%,M&I,1776100,14.63
>8%,Inferred,1970400,14.36
>7%,Measured,770200,13.89
>7%,Indicated,1200500,13.96
>7%,M&I,1970700,13.93
>7%,Inferred,2100600,13.94
>6%,Measured,850100,13.19
>6%,Indicated,1307900,13.35
>6%,M&I,2158000,13.29
>6%,Inferred,2276000,13.37
>5%,Measured,932800,12.51
>5%,Indicated,1416700,12.76
>5%,M&I,2349500,12.66
>5%,Inferred,2393400,12.98
>4%,Measured,1004900,11.94
>4%,Indicated,1524400,12.18
>4%,M&I,2529300,12.08
>4%,Inferred,2887100,11.88
>3%,Measured,1074300,11.39
>3%,Indicated,1612400,11.7
>3%,M&I,2686700,11.58
>3%,Inferred,2824300,11.6
