record_id,Mineral Site Name,Country,State/Province,Latitude,Longitude,Tonnage,Grade (% of carbon)
1,Quebrada Del Gato,Argentina,San Juan,-31.43,-68.13,,
2,Undercliff,Australia,New South Wales,-28.66,152.21,793,32
3,Jack's Creek,Australia,Queensland,-20.67,147.87,"2,200",61
4,Koppio-Uley mines,Australia,South Australia,-34.8,135.71,"35,030",15
5,Munglinup River,Australia,Western Australia,-33.5,120.85,"30,000",25
6,Doppl-Muehldorf-Zettlitz,Austria,Niederosterreich,48.38,15.45,"1,000,000",10
7,Kaisersberg-Trieben,Austria,Steiermark,47.35,15.07,"1,000,000",85
8,Itanhem,Brazil,Bahia,-17.1,40.35,"2,778",40
9,Itapacerica,Brazil,Minas Gerais,-20.43,-45.13,"383,000",15.7
10,Pedra Azul,Brazil,Minas Gerais,-15.88,-45.13,"26,800,000",11.9
11,Bisset Creek,Canada,Ontario,46.23,-78.07,"4,938,000",15.58
12,Coronation,Canada,Ontario,45.29,-77.94,,
13,Graphite Lake-Ryerson-Todd area,Canada,Ontario,45.73,-79.08,,
14,Kirkham-Portland-Timmins area,Canada,Ontario,44.56,-76.57,"478,000",9
15,Tagliamonte,Canada,Ontario,46.23,-78.07,,
16,Graphex-Graphico-Orwell Mines,Canada,Quebec,46.14,-75.55,"2,200,000",10
17,North American Mine,Canada,Quebec,45.52,-75.55,,
18,St-Amime-Lac Des Iles,Canada,Quebec,46.25,-75.53,,
19,Lac Knife,Canada,Quebec,52.55,-61.18,"4,900,000",15.8
20,Pollon Lake area,Canada,Saskatchewan,56.38,-103.13,"1,663,000",10.3
21,Haikou,China,Hainan,20.08,110.42,"5,000,000",3.7
22,Heling,China,Heilongjiang [Heilungkiang],46.31,129.55,,
23,Jixi (Liu Mao),China,Heilongjiang [Heilungkiang],45.28,131,"300,000,000",85
24,Liu Mao,China,Heilongjiang [Heilungkiang],45.3,131.07,"3,000,000",18.5
25,Honan deposits,China,Henan [Honan],32.5,113.88,,
26,Hunan,China,Hunan,26,113,,
27,Panshi,China,Jilin [Kirin],42.93,125.97,,
28,Hohot,China,Nei Mongol (Inner Mongolia),40.81,111.62,,
29,Shandong Peninsula,China,Shandong [Shantung],37.03,120.32,"5,900,000",5
30,Xing He,China,,40.88,113.88,,
31,Kolledeye,Czech Republic,,49.22,14.45,,
32,Velke Vbrno-Konstantin Vvk,Czech Republic,,50.13,17.33,"200,000",50
33,Kropfmühl-Cesky Krumlov,Germany and Czech Republic,"Bayern [Bavaria, Germany]",48.8,14.32,,16
34,East Godavari,India,Andhra Pradesh,17.38,81.85,,
35,Khammam,India,Andhra Pradesh,17.38,81.33,,
