Deposit,Type,Resource Tonnage (Mt),Resource Grade (ppm),Reserve Tonnage (Mt),Reserve Grade (ppm),Cutoff Grade (ppm),Date
Thacker Pass,Clay,1754.4,2036.25398996808,217.3,3160.9111826967323,1047.0,2022
Rhyolite Ridge,Clay,207.0,1129.95169,60.5,1795.86777,,2023-03-01 00:00:00
Silver Peak,Brine,2449.825,57.02449,1345.612,92.59728,,2022-09-30 00:00:00
Clayton,Clay,1540.4,882.685952,213.0,1129.0,,2020-08-05 00:00:00
Bonnie Claire,Clay,3407.3,1013.0,,,700.0,2021-08-20 00:00:00
Tonopah Flats,Clay,6091.0,573.998851,,,,2024-01-18 00:00:00
TLC,Clay,2538.0,791.0724980299449,,,500.0,2023-03-17 00:00:00
Horizon Lithium,Clay,2826.808,678.549143,,,300.0,2023-12-21 00:00:00
McGee,Clay,477.0,823.406709,,,300.0,2022-06-14 00:00:00
Clayton Valley,Brine,357.6013893,114.52514,,,,2017-06-01 00:00:00
Nevada North,Clay,310.3,2834.0,,,1000.0,2024-02-22 00:00:00
Clayton,Brine,711.275,80.0,,,,2024-03-13 00:00:00
West Tonopah Project,Clay,184.002,670.5961674329626,,,400.0,2023-11-01 00:00:00
Gemini,Clay,1150.442,1130.0,,,400.0,2024-01-23 00:00:00
Clayton Ridge Project,Clay,590.9258649999999,810.2505379418449,,,500.0,2023-12-21 00:00:00
Zeus,Clay,1276.79,924.1868514007786,,,300.0,2023
