row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
4,Philippines,Acoje,Development,,,OC,unknown,,HPAL,Indicated,30.76,%Ni,1.12
4,Philippines,Acoje,Development,,,OC,unknown,,HPAL,Indicated,30.76,%Co,0.05
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,%Cu,0.01
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Au,0.024090489073881373
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,%Ni,0.03
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Pt,2.9450622892819975
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Pd,1.318954276795005
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Rh,0.5540812486992716
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Ru,0.9575969406867846
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Indicated,96.10000000000001,g/t Ir,0.22283702393340268
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,%Cu,0.010000000000000002
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Au,0.02315175572519084
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,%Ni,0.03
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Pt,2.8303021374045803
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Pd,1.2675586259541987
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Rh,0.5324903816793893
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Ru,0.920282290076336
5,South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,Inferred,78.6,g/t Ir,0.21415374045801527
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,%Cu,0.01
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Au,0.058974502899999996
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,%Ni,0.03
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Pt,3.1921685999999996
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Pd,1.60276134
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Rh,0.54552452
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Ru,0.85477758
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,g/t Ir,0.215799086
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Measured,98.4,%Cr,21.21010769524286
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Indicated,10.8,%Cu,0.01
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Indicated,10.8,%Ni,0.03
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Indicated,10.8,%Cr,21.21010769524286
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,%Cu,0.01
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,g/t Au,0.055267343999999996
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,%Ni,0.03
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,g/t Pt,2.9914973
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,g/t Pd,1.50200534
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,g/t Rh,0.511230016
6,South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,Inferred,55.9,%Cr,21.21010769524286
7,Russia,Aganozero-Ni-bearing serpentinite,Deposit,,,,unknown,,,Inferred,2773.79,%Ni,0.29
