Country,Project,Status,Location,Location,Mine,Company,Economic,Principal,Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves
,,,Lat,Long,Type,,Mineralogy,Process,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Indicated,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Inferred,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Proven,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable,Probable
,,,,,,,,,Mt,%Cu,g/t Au,g/t Ag,%U,%Mo,%Pb,%Zn,%Ni,%Co,g/t Pt,g/t Pd,g/t Rh,g/t Ru,g/t Ir,%Cr,%Fe,%SiO2,g/t Sc,%Mn,%H2O,Mt,%Cu,g/t Au,g/t Ag,%U,%Mo,%Pb,%Zn,%Ni,%Co,g/t Pt,g/t Pd,g/t Rh,g/t Ru,g/t Ir,%Cr,%Fe,%SiO2,g/t Sc,%Mn,%H2O,Mt,%Cu,g/t Au,g/t Ag,%U,%Mo,%Pb,%Zn,%Ni,%Co,g/t Pt,g/t Pd,g/t Rh,g/t Ru,g/t Ir,%Cr,%Fe,%SiO2,g/t Sc,%Mn,%H2O,Mt,%Cu,g/t Au,g/t Ag,%U,%Mo,%Pb,%Zn,%Ni,%Co,g/t Pt,g/t Pd,g/t Rh,g/t Ru,g/t Ir,%Cr,%Fe,%SiO2,g/t Sc,%Mn,%H2O,Mt,%Cu,g/t Au,g/t Ag,%U,%Mo,%Pb,%Zn,%Ni,%Co,g/t Pt,g/t Pd,g/t Rh,g/t Ru,g/t Ir,%Cr,%Fe,%SiO2,g/t Sc,%Mn,%H2O
Philippines,Acoje,Development,,,OC,unknown,,HPAL,0,,,,,,,,,,,,,,,,,,,,,30.76,,,,,,,,1.12,0.05,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Afplats-Imbasa / Imkosi,,,,,ERG? previously Impala Pt,,,0,,,,,,,,,,,,,,,,,,,,,96.10000000000001,0.01,0.024090489073881373,,,,,,0.03,,2.9450622892819975,1.318954276795005,0.5540812486992716,0.9575969406867846,0.22283702393340268,,,,,,,78.6,0.010000000000000002,0.02315175572519084,,,,,,0.03,,2.8303021374045803,1.2675586259541987,0.5324903816793893,0.920282290076336,0.21415374045801527,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Afplats-Leeuwkop,,,,,Impala Pt,,,98.4,0.01,0.058974502899999996,,,,,,0.03,,3.1921685999999996,1.60276134,0.54552452,0.85477758,0.215799086,21.21010769524286,,,,,,10.8,0.01,,,,,,,0.03,,,,,,,21.21010769524286,,,,,,55.9,0.01,0.055267343999999996,,,,,,0.03,,2.9914973,1.50200534,0.511230016,,,21.21010769524286,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Russia,Aganozero-Ni-bearing serpentinite,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2773.79,,,,,,,,0.29,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Agata Group,Deposit,,,OC,"Mindoro Resources-75%, Minimax Mineral Expl.-25%",,HPAL,0.78,,,,,,,,1.1,0.06,,,,,,,23,30,,,,42,,,,,,,,1,0.05,,,,,,,22,29,,,,2.4,,,,,,,,1,0.04,,,,,,,20,33,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Greece,Agios Ioannis,Operating,,,,Larco,,RKEF,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,57.1,,,,,,,,0.77,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Água Branca,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.531,,,,,,,,1.4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Spain,Aguablanca,C&M,,,,Lundin Mining,,,4.264,0.5830675422138837,0.14,,,,,,0.6,0.01,0.1785,0.255,0.0765,,,,,,,,,1.527,0.5,0.14,,,,,,0.6,0.01,0.1785,0.255,0.0765,,,,,,,,,0.043,0.2,0.14,,,,,,0.4,0.01,0.1785,0.255,0.0765,,,,,,,,,2.161,0.5665895418787599,0.14,,,,,,0.6832947709393798,0.01,0.1785,0.255,0.0765,,,,,,,,,1.289,0.5,0.14,,,,,,0.6,0.01,0.1785,0.255,0.0765,,,,,,,,
