Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Y ppm,Sc ppm
Khanneshin,Helmand,Afghanistan,Carbonatite,37.27,,,,,,,,,,,,,,,,
Rodeo de Los Molles,San Luis,Argentina,Carbonatite,5.6,,,,,,,,,,,,,,,,
Dubbo Zirconia (Toongi),New South Wales,Australia,Alkaline,73.2,,,,,,,,,,,,,,,1102.4073122774698,
Narraburra,New South Wales,Australia,Alkaline,73.0,,,,,,,,,,,,,,,57.482666997325204,
Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,44.99146404892021,96.30515485254428,10.247637701015908,37.37683016329958,7.101020565349738,1.4878308126892204,6.054757379947159,0.9386612259584378,5.368379260153067,1.0451263478391652,3.064329008497542,0.4090846706795449,2.641286658601906,0.3851708893318678,29.66128523672225,
Cummins Range,Western Australia,Australia,Carbonatite,11.15,,,,,,,,,,,,,,,,
Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,19810.430091310518,39496.89503798658,4289.615234960591,15122.655969821883,2047.1473204997014,445.31263266995336,920.0532230457118,76.0741787512408,211.92800606960898,25.47967025960568,51.04967782859505,8.518847268397202,25.632276341265538,,582.2392195316116,
Mount Weld Duncan,Western Australia,Australia,Carbonatite,8.992999999999999,10257.068435223591,16262.077722589718,1963.1348512004395,7418.711710836119,1180.4119363848718,321.63829924095194,835.0787174238969,109.25869205206583,535.2293867825109,80.22579613651646,173.42571670910135,16.940596928971676,76.45859495807608,8.506828703349886,1969.093292952386,
Coors and Crown ,Western Australia,Australia,Carbonatite,37.7,,,,,,,,,,,,,,,70.86904150355154,
Frasers,Western Australia,Australia,Carbonatite,0.191,,,,,,,,,,,,,,,,
"Yangibana,Yangibana North, Yangibana South",Western Australia,Australia,Carbonatite,3.5,,,,,,,,,,,,,,,,
Bald Hill North and Souuth,Western Australia,Australia,Carbonatite,0.498,,,,,,,,,,,,,,,,
Hook and Hook South,Western Australia,Australia,Carbonatite,0.22100000000000003,,,,,,,,,,,,,,,,
Kanes Gossan,Western Australia,Australia,Carbonatite,0.449,,,,,,,,,,,,,,,,
Lions Ear,Western Australia,Australia,Carbonatite,0.14700000000000002,,,,,,,,,,,,,,,,
Tongue,Western Australia,Australia,Carbonatite,0.077,,,,,,,,,,,,,,,,
John Galt,Western Australia,Australia,Carbonatite -Related Skarn,0.051,,,,,,,,,,,,,,,,
Hastings-Brockman,Western Australia,Australia,Felsic Volcanic,36.2,28.991099380025783,108.42822325127956,16.23485537565945,62.58630527817404,39.6682725395733,2.5908160945669465,65.06896551724138,20.851254578253975,162.06434316353887,37.53765945059017,151.29133117222628,19.263256103249883,122.0694275274056,15.828818414836409,881.9258498219758,
Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,4193.121583714688,10692.582694558048,1302.5254997440466,4535.639639536393,509.8589067744945,86.57981556446377,220.79261908580597,17.866836111133907,71.67393115644255,8.976260411224267,20.232389081508874,2.2508353926524634,13.545033257539277,2.2605426721399566,273.26533054176036,
Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,151.3335387637346,344.15288813063614,46.3262351927633,206.86059914407986,64.7713902271163,9.767376676517388,118.252,23.423321564221897,156.91487935656838,36.2020171492087,100.93667886646448,13.458011195770485,76.40316686967113,10.45581394180027,1007.7341471666697,
Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,66.48341231354735,163.04360467950275,0.0020576562567305623,124.97542082738944,163.70923606331726,38.05908842918845,521.558124137931,113.36717594821589,840.8351206434314,201.23677340814058,604.780537488236,87.06991758668946,515.0363824604141,69.55886314519776,5268.50691176731,
Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,187.03522497084276,458.59162076529367,62.88018737884989,303.64646219686165,179.93011011699932,35.114194135030694,476.22674482758623,102.79904937677206,790.5951742627348,191.48571163923145,591.382946774025,87.13120976519983,529.0348477466505,73.3929547167915,4748.635246311091,
