row index,Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),Column 6,Column 7
3,Dubbo Zirconia (Toongi),New South Wales,Australia,Alkaline,73.2,Y ppm,1102.4073122774698
4,Narraburra,New South Wales,Australia,Alkaline,73.0,Y ppm,57.482666997325204
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,La ppm,44.99146404892021
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Ce ppm,96.30515485254428
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Pr ppm,10.247637701015908
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Nd ppm,37.37683016329958
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Sm ppm,7.101020565349738
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Eu ppm,1.4878308126892204
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Gd ppm,6.054757379947159
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Tb ppm,0.9386612259584378
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Dy ppm,5.368379260153067
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Ho ppm,1.0451263478391652
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Er ppm,3.064329008497542
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Tm ppm,0.4090846706795449
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Yb ppm,2.641286658601906
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Lu ppm,0.3851708893318678
5,Charley Creek (JV),Northern Territory,Australia,Alluvial/Placer,805.302,Y ppm,29.66128523672225
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,La ppm,19810.430091310518
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Ce ppm,39496.89503798658
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Pr ppm,4289.615234960591
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Nd ppm,15122.655969821883
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Sm ppm,2047.1473204997014
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Eu ppm,445.31263266995336
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Gd ppm,920.0532230457118
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Tb ppm,76.0741787512408
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Dy ppm,211.92800606960898
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Ho ppm,25.47967025960568
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Er ppm,51.04967782859505
7,Mount Weld CLD,Western Australia,Australia,Carbonatite,14.949,Tm ppm,8.518847268397202
