deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
2,Baraghana; Baraghana-I,Afghanistan,66.06,32.1402777777778,,,,W,,,,,
2,Baraghana; Baraghana-I,Afghanistan,66.06,32.1402777777778,,,,Cu,,,,,
3,Farah; Farah-II,Afghanistan,62.3,32.2416666666667,,,,W,,,,,
3,Farah; Farah-II,Afghanistan,62.3,32.2416666666667,,,,Cu,,,,,
4,Maghn,Afghanistan,67.6333333333333,32.9222222222222,,,,Sn,,,,,
5,Misgaran,Afghanistan,62.1,33.825,,,,Sn,,,,,
5,Misgaran,Afghanistan,62.1,33.825,,,,Zn,,,,,
5,Misgaran,Afghanistan,62.1,33.825,,,,Pb,,,,,
6,Oruzgan,Afghanistan,66.6555555555555,32.9222222222222,,,,W,,,,,
6,Oruzgan,Afghanistan,66.6555555555555,32.9222222222222,,,,Cu,,,,,
6,Oruzgan,Afghanistan,66.6555555555555,32.9222222222222,,,,Mo,,,,,
6,Oruzgan,Afghanistan,66.6555555555555,32.9222222222222,,,,Bi,,,,,
7,Tourmaline,Afghanistan,61.6666666666667,33.0958333333333,,,,Sn,,,,,
8,Bachir,Algeria,5.56666666666667,22.0666666666667,500000.0,metric tons,,WO3,1.78,percent,,,2003
9,Djilouet,Algeria,9.51944444444444,24.6083333333333,200000.0,metric tons,,WO3,100.0,percent,,,1999
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,Sn,0.9,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,Sn,0.9,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,WO3,0.3,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,WO3,0.3,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,WO3,0.96,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,WO3,0.96,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,Sn,0.25,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,Sn,0.25,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,Sn,0.9,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,Sn,0.9,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,WO3,0.3,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,734000.0,metric tons,,WO3,0.3,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,WO3,0.96,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,WO3,0.96,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,Sn,0.25,percent,,,2003
10,El-Karoussa - Tin-Amzi,Algeria,5.64722222222222,22.5333333333333,238000.0,metric tons,,Sn,0.25,percent,,,2003
11,Nahda; Laouni,Algeria,5.44166666666667,20.8305555555556,1.37,million metric tons,,WO3,1.48,percent,,,2003
12,San Rafael,Argentina,-69.5833333333333,-30.3666666666667,96500.0,metric tons,,WO3,1.0,percent,,,1999
13,Agua de Ramon,Argentina,-65.4,-30.8166666666667,700.0,metric tons,,WO3,65.0,percent,,,1999
14,Altautina,Argentina,-65.2166666666667,-31.7,,,,W,,,,,
15,Cerro Aspero,Argentina,-64.8333333333333,-32.4666666666667,,,,W,,,,,
16,Grupo Minero del Valle,Argentina,-67.0833333333333,-27.6333333333333,1.12,million metric tons,Inferred,WO3,0.4,percent,,,1999
16,Grupo Minero del Valle,Argentina,-67.0833333333333,-27.6333333333333,1.12,million metric tons,Inferred,WO3,0.4,percent,,,1999
17,El Morro District; Loma Blanca,Argentina,-65.5,-33.1666666666667,1800.0,metric tons,Indicated + Inferred,WO3,100.0,percent,,,1999
18,El Zinqui,Argentina,-64.5666666666667,-30.8666666666667,271000.0,metric tons,Inferred,WO3,0.46,percent,,,1999
19,Josefina,Argentina,-69.4833333333333,-33.4833333333333,25000.0,metric tons,Indicated + Inferred,WO3,1.0,percent,,,1999
20,La Bismutina (lode),Argentina,-65.2666666666667,-31.15,,,,W,,,,,
20,La Bismutina (lode),Argentina,-65.2666666666667,-31.15,,,,Bi,,,,,
21,Los Avestruces-Las Asperazas,Argentina,-65.6833333333333,-32.4666666666667,380000.0,metric tons,,WO3,0.5,percent,,,1987
21,Los Avestruces-Las Asperazas,Argentina,-65.6833333333333,-32.4666666666667,380000.0,metric tons,,WO3,0.5,percent,,,1987
22,Los Condores-El Aguila,Argentina,-65.3333333333333,-32.5333333333333,282000.0,metric tons,,WO3,0.4,percent,,,1999
22,Los Condores-El Aguila,Argentina,-65.3333333333333,-32.5333333333333,282000.0,metric tons,,WO3,0.4,percent,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Zn,0.57,percent,,,1999
