row index,2013,,Primary Deposit Type,Secondary Deposit Type, (1),Company,Source,Mt ore,Column 9,Column 10
1,Ain Khala,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,7.1,%Pb,1.2
1,Ain Khala,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,7.1,%Zn,1.9
2,Boukdema-Kef Semmah,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),12,%Pb,2.07
2,Boukdema-Kef Semmah,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),12,%Zn,6.5
3,El Abed,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),38,%Pb,2.33
3,El Abed,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),38,%Zn,3.52
4,Kherzet Youcef,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,1.6,%Pb,3.6
4,Kherzet Youcef,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,1.6,%Zn,18.4
5,Oued El Kebir,Algeria,VMS,Kuroko,C,formerly Celamin Holdings,Annual Report 2011,11.5,%Pb,2.6
5,Oued El Kebir,Algeria,VMS,Kuroko,C,formerly Celamin Holdings,Annual Report 2011,11.5,%Zn,2.1
5,Oued El Kebir,Algeria,VMS,Kuroko,C,formerly Celamin Holdings,Annual Report 2011,11.5,g/t Ag,95.0
5,Oued El Kebir,Algeria,VMS,Kuroko,C,formerly Celamin Holdings,Annual Report 2011,11.5,%Cu,0.7
6,Tala Hamza,Algeria,Epithermal,,C,Terramin Australia,Annual Report 2013,68.6,%Pb,1.1
6,Tala Hamza,Algeria,Epithermal,,C,Terramin Australia,Annual Report 2013,68.6,%Zn,4.6
7,Tan Chaffao Est,Algeria,VMS,,NC,Cancor Mines,Tech Rep (2012-02),6.58504,%Zn,1.65
7,Tan Chaffao Est,Algeria,VMS,,NC,Cancor Mines,Tech Rep (2012-02),6.58504,%Cu,0.55
7,Tan Chaffao Est,Algeria,VMS,,NC,Cancor Mines,Tech Rep (2012-02),6.58504,g/t Au,1.62
13,Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,%Pb,1.67
13,Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,%Zn,4.48
13,Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,g/t Ag,104.0
13,Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,%Cu,0.58
13,Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,g/t Au,1.3
14,Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),,%Pb,1.0
14,Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),,%Zn,2.2
