Country,Project,Lat,Long,Mine,Source,Ni basis,Co basis,Mineral Deposit Type Primary,Mineral Deposit Type Secondary,Mineral Deposit Type Other Notes,Category,Mt,%Ni,%Co
Philippines,Acoje,,,unknown,AR 2011,C,C,Laterite,Oxide-Clay silicate,Oxide-Clay silicate,Indicated,30.76,1.12,0.05
South Africa,Afplats-Imbasa / Imkosi,,,ERG? previously Impala Pt,ResV-ResC 2017,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,96.10000000000001,0.03,
South Africa,Afplats-Imbasa / Imkosi,,,ERG? previously Impala Pt,ResV-ResC 2017,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,78.6,0.03,
South Africa,Afplats-Leeuwkop,,,Impala Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,98.4,0.03,
South Africa,Afplats-Leeuwkop,,,Impala Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,10.8,0.03,
South Africa,Afplats-Leeuwkop,,,Impala Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,55.9,0.03,
Russia,Aganozero-Ni-bearing serpentinite,,,unknown,FODD (2017),NC,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,2773.79,0.29,
Philippines,Agata Group,,,"Mindoro Resources-75%, Minimax Mineral Expl.-25%",Tech Rep (2011-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Measured,0.78,1.1,0.06
Philippines,Agata Group,,,"Mindoro Resources-75%, Minimax Mineral Expl.-25%",Tech Rep (2011-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Indicated,42.0,1,0.05
Philippines,Agata Group,,,"Mindoro Resources-75%, Minimax Mineral Expl.-25%",Tech Rep (2011-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,2.4,1,0.04
