deposit_no,country,deposit_name,commodities,longdd,latdd,mine_name,year,month,day,tonnage,ton_units,resource_category,product,publication_year,publication_title
215,Canada (British Columbia),Dodger,W; Mo; Au,-117.213055555556,49.1136111111111,,2006.0,11.0,8.0,2.28,million metric tons,measured and indicated resource,ore,1983.0,Geology of Canadian tungsten occurrences
215,Canada (British Columbia),Dodger,W; Mo; Au,-117.213055555556,49.1136111111111,,2006.0,11.0,8.0,1.1,million metric tons,inferred resource,ore,1983.0,Geology of Canadian tungsten occurrences
215,Canada (British Columbia),Dodger,W; Mo; Au,-117.213055555556,49.1136111111111,,2006.0,11.0,8.0,2.28,million metric tons,measured and indicated resource,ore,2005.0,DODGER (L.12083) 
215,Canada (British Columbia),Dodger,W; Mo; Au,-117.213055555556,49.1136111111111,,2006.0,11.0,8.0,1.1,million metric tons,inferred resource,ore,2005.0,DODGER (L.12083) 
216,Canada (British Columbia),Emerald Tungsten,W; Mo,-117.226944444444,49.1069444444444,,,,,,,,,1983.0,Geology of Canadian tungsten occurrences
216,Canada (British Columbia),Emerald Tungsten,W; Mo,-117.226944444444,49.1069444444444,,,,,,,,,2005.0,EMERALD TUNGSTEN
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,1973.0,,,68141.0,metric tons,unspecified,ore,1983.0,Geology of Canadian tungsten occurrences
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,2006.0,11.0,8.0,2.28,million metric tons,measured and indicated resource,ore,1983.0,Geology of Canadian tungsten occurrences
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,2006.0,11.0,8.0,1.1,million metric tons,inferred resource,ore,1983.0,Geology of Canadian tungsten occurrences
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,1973.0,,,68141.0,metric tons,unspecified,ore,2005.0,INVINCIBLE (L.12084)
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,2006.0,11.0,8.0,2.28,million metric tons,measured and indicated resource,ore,2005.0,INVINCIBLE (L.12084)
217,Canada (British Columbia),Invincible,W; Mo,-117.218888888889,49.1158333333333,,2006.0,11.0,8.0,1.1,million metric tons,inferred resource,ore,2005.0,INVINCIBLE (L.12084)
218,Canada (British Columbia),Victory,W; Mo,-117.176944444444,49.14,,1977.0,,,74382.0,metric tons,unspecified,ore,2005.0,VICTORY TUNGSTEN
220,Canada (Yukon Territory),Bailey,W; Cu,-128.852222222222,60.7866666666667,,1977.0,,,404600.0,metric tons,unspecified,ore,1978.0,Regional metallogeny of the Northern Cordillera - tungsten and base metal-bearing skarns in southeastern Yukon and southwestern Mackenzie
220,Canada (Yukon Territory),Bailey,W; Cu,-128.852222222222,60.7866666666667,,1977.0,,,404600.0,metric tons,unspecified,ore,2005.0,BAILEY
221,Canada (New Brunswick),Burnt Hill,W; Sn,-66.8166666666667,46.5666666666667,,1989.0,,,3.6,million metric tons,unspecified,ore,1987.0,"Age and genesis of granite-related W-Sn-Mo mineral depositrs, Burnthill, New Brunswick, Canada"
221,Canada (New Brunswick),Burnt Hill,W; Sn,-66.8166666666667,46.5666666666667,,1989.0,,,3.6,million metric tons,unspecified,ore,1990.0,"Geology and geochemistry of Middle Devonian Burnthill Brook granites and related tin-tungsten deposits, York and Northumberland Counties, New Brunswick"
221,Canada (New Brunswick),Burnt Hill,W; Sn,-66.8166666666667,46.5666666666667,,1989.0,,,3.6,million metric tons,unspecified,ore,1989.0,"Geology and geochemistry of the Burnthill granite and its related W-Sn-Mo-F mineral deposits, central New Brunswick"
221,Canada (New Brunswick),Burnt Hill,W; Sn,-66.8166666666667,46.5666666666667,,1989.0,,,3.6,million metric tons,unspecified,ore,1969.0,The geology of the Burnt Hill area and ore controls of the Burnt Hill tungsten deposit
221,Canada (New Brunswick),Burnt Hill,W; Sn,-66.8166666666667,46.5666666666667,,1989.0,,,3.6,million metric tons,unspecified,ore,1957.0,"Burnt Hill wolframite deposit, New Brunswick, Canada"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,4.05,million metric tons,proven reserve - E-zone,ore,1978.0,"Potassium-argon ages of intrusion and scheelite mineralization, Cantung, Tungsten, Northwest Territories"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,225000.0,metric tons,Open pit reserves - skarn ore,ore,1978.0,"Potassium-argon ages of intrusion and scheelite mineralization, Cantung, Tungsten, Northwest Territories"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,550000.0,metric tons,Open pit reserves - chert ore,ore,1978.0,"Potassium-argon ages of intrusion and scheelite mineralization, Cantung, Tungsten, Northwest Territories"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,4.05,million metric tons,proven reserve - E-zone,ore,1984.0,"The Can Tung E zone scheelite slarn orebody, Tungsten, Northwest Territories: a revised genetic model"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,225000.0,metric tons,Open pit reserves - skarn ore,ore,1984.0,"The Can Tung E zone scheelite slarn orebody, Tungsten, Northwest Territories: a revised genetic model"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,550000.0,metric tons,Open pit reserves - chert ore,ore,1984.0,"The Can Tung E zone scheelite slarn orebody, Tungsten, Northwest Territories: a revised genetic model"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,4.05,million metric tons,proven reserve - E-zone,ore,1983.0,Geology of Canadian tungsten occurrences
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,225000.0,metric tons,Open pit reserves - skarn ore,ore,1983.0,Geology of Canadian tungsten occurrences
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,550000.0,metric tons,Open pit reserves - chert ore,ore,1983.0,Geology of Canadian tungsten occurrences
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,4.05,million metric tons,proven reserve - E-zone,ore,1977.0,Canada Tungsten: the change to underground mining and description of mine-mill procedures
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,225000.0,metric tons,Open pit reserves - skarn ore,ore,1977.0,Canada Tungsten: the change to underground mining and description of mine-mill procedures
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,550000.0,metric tons,Open pit reserves - chert ore,ore,1977.0,Canada Tungsten: the change to underground mining and description of mine-mill procedures
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,4.05,million metric tons,proven reserve - E-zone,ore,2011.0,"Technical Report on the Cantung Mine, Northwest Territories, Canada"
222,Canada (Northwest Territories),Cantung; Canada Tungsten,W; Cu; Bi; Au; Zn,-128.2625,61.9528,,1977.0,,,225000.0,metric tons,Open pit reserves - skarn ore,ore,2011.0,"Technical Report on the Cantung Mine, Northwest Territories, Canada"
