Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Ain Khala,Algeria,Sediment-hosted Pb-Zn,MVT,7.1,1.2,1.9
Boukdema-Kef Semmah,Algeria,Sediment-hosted Pb-Zn,MVT,12.0,2.07,6.5
El Abed,Algeria,Sediment-hosted Pb-Zn,MVT,38.0,2.33,3.52
Kherzet Youcef,Algeria,Sediment-hosted Pb-Zn,MVT,1.6,3.6,18.4
Oued El Kebir,Algeria,VMS,Kuroko,11.5,2.6,2.1
Tala Hamza,Algeria,Epithermal,,68.6,1.1,4.6
Tan Chaffao Est,Algeria,VMS,,6.58504,,1.65
Aguilar,Argentina,Sediment-hosted Pb-Zn,Sedex,8.82,4.455510204,4.556394558
Los Azules,Argentina,Porphyry,,1786.0,0.01,0.02217805151
Navidad,Argentina,Epithermal,,201.1,0.7895624068,
Pingüino,Argentina,Epithermal,Low sulfidation,59.25,0.3339898734,0.8975139241
Pirquitas,Argentina,Epithermal,Low sulfidation?,33.6,,1.498869048
Akhtala (Alaverdi),Armenia,VMS,,1.2,1.67,4.48
Armanis-Sagamar,Armenia,VMS,,16.3296,1.0,2.2
Shahumyan (Kapan),Armenia,Epithermal,Low sulfidation?,13.4,0.1208955224,1.74358209
Shamlugh,Armenia,VMS,,4.5,1.71,4.96
Marjan,Armenia,Epithermal,Low sulfidation,15.4,1.1,1.21
Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,96.7,2.9,2.4
Allison's Lode,Australia,VMS,,0.056719,1.22,4.41
Altia,Australia,Sediment-hosted Pb-Zn,Sedex,5.8,4.0,0.5
Anaconda,Australia,VMS,,0.876831,,1.97
Angas,Australia,Sediment-hosted Pb-Zn,Sedex,0.91,1.7,4.2
Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,12.2,0.56,
Balcooma Group,Australia,VMS,,2.976637,2.1415765161813343,5.057954659593077
Bali Hi,Australia,Epithermal,Low sulfidation?,0.095,2.08,
Barrow Creek-Home of Bullion,Australia,VMS,,2.5,1.2,2.0
Belara,Australia,VMS,,2.545049,1.1,3.75
Bentley,Australia,VMS,,2.771,,9.6
