Deposit/Project Name,Country,Primary Mineral deposit Type,Secondary Mineral deposit Type,Other Mineral deposit Type,Min. ResC Mt,Min. ResV Mt,Min. ResC Cu %,Min. ResV Cu %
Aynak,Afghanistan,Sediment-hosted Stratiform/Stratabound Cu,,,483.4,,1.85,
Darband,Afghanistan,Sediment-hosted Stratiform/Stratabound Cu,,,80.0,,1.3,
Ikar,Afghanistan,Orogenic Au,,,3.1,,0.13,
Kundalyan,Afghanistan,Skarn,,,0.09736842105,,3.8,
Shaida,Afghanistan,VMS / Porphyry,,,4.8,,1.1,
Derven,Albania,VMS,,,2.6,,0.94,
Golajt,Albania,VMS?,,,1.6,,1.23,
Gurth,Albania,VMS,,,1.0,,2.34,
Karma,Albania,VMS,,,0.97,,3.71,
Lak Roshi,Albania,VMS,,,3.8,,1.0,
Munella (Munelle),Albania,VMS,,,9.8,,0.97,
Nikoliq,Albania,VMS?,,,2.7,,1.68,
Perlat,Albania,VMS,,,18.51,,1.269076175,
Qaf Bari,Albania,VMS,,,1.1,,2.14,
Rehove,Albania,VMS,,,3.3,,2.2,
Rubik,Albania,VMS,,,1.3,,2.44,
Spaç,Albania,VMS,,,6.4,,1.0,
Tuç,Albania,VMS,,,3.1,,2.03,
Oued El Kebir,Algeria,VMS,,,11.5,,0.7,
Tan Chaffao East,Algeria,VMS?,,,6.58504,,0.55,
Cachoeiras de Binga,Angola,Sediment-hosted Stratiform/Stratabound Cu,,,7.19,,2.08,
Agua Rica,Argentina,Porphyry,Cu,,1752.034,908.926,0.4209186123,0.4850465384
Arizaro,Argentina,Porphyry,,,58.32,,0.1453069273,
Bajo de la Alumbrera-Bajo el Durazno,Argentina,Porphyry,Cu-Au,,247.0,29.0,0.2026720648,0.364137931
Barda Gonzales,Argentina,Sediment-hosted Stratiform/Stratabound Cu,,,35.5,,0.368,
Beatriz,Argentina,VMS,,,1.5,,1.3,
Caicayén,Argentina,Skarn,Porphyry-related,,200.0,,0.6,
Campana Mahuida,Argentina,Porphyry,,,90.9,,0.3977843784,
Cerro Amarillo,Argentina,Porphyry,Cu-Mo-Au,,200.0,,0.5,
Cerro Granito,Argentina,Sediment-hosted Stratiform/Stratabound Cu,,,2.0,,0.5,
Cerro Samenta,Argentina,Porphyry,Cu?,,40.0,,0.5,
El Altar,Argentina,Epithermal,High sulphidation,linked to porphyry at depth,2599.851,,0.3234035254,
El Pachon,Argentina,Porphyry,Cu,,3097.0,,0.4820568292,
Eureka,Argentina,Porphyry,Exotic Cu; associated with porphyry,Manto?,62.0,,1.0,
Filo Colorado,Argentina,Porphyry,,,100.0,,0.6,
Inca Viejo,Argentina,Porphyry,,,30.0,,0.6,
Josemaría,Argentina,Porphyry,Cu-Au,,1554.0,,0.2815765766,
Juramento (Juaramento),Argentina,Sediment-hosted Stratiform/Stratabound Cu,,,44.7,,0.8,
La Mejicana,Argentina,Epithermal,High sulphidation,,0.25,,1.1,
La Providencia,Argentina,Sediment-hosted Stratiform/Stratabound Cu,red-bed,,1.014,,0.08,
La Voluntad,Argentina,Porphyry,,,250.0,,0.15,
Las Aguilas,Argentina,Magmatic Sulphide,,,6.229188,,0.3671227711,
Lindero,Argentina,Porphyry,,,182.1,,0.1015650741,
Los Azules,Argentina,Porphyry,Cu,,4768.0,,0.3423552852,
Martan Bronce,Argentina,Sediment-hosted Stratiform/Stratabound Cu,,,3.235,,2.41,
Navidad,Argentina,Epithermal,Low sulphidation,Possible VMS as well?,201.1,,0.0400298359,
Nevados de Famatina,Argentina,Porphyry,,,300.0,,0.37,
Papagayos,Argentina,Porphyry,,,500.0,,1.0,
Paramillos Norte / Sur,Argentina,Porphyry,,,373.0,,0.5549329759,
Rincones de Araya,Argentina,Porphyry,,,87.0,,0.6,
Rio Grande,Argentina,Porphyry,,,929.2588,,0.187010075,
Salto Albi-Tendal,Argentina,VMS,,,30.0,,1.2,
San Jorge,Argentina,Porphyry,Cu-Au,,194.844,,0.4789102051,
San Romeleo,Argentina,Sediment-hosted Stratiform/Stratabound Cu,,,0.487,,1.29,
Taca Taca,Argentina,Porphyry,Cu,,3086.0,,0.4191088788,
Tango,Argentina,Porphyry,,,500.0,,0.6,
Agarak,Armenia,Porphyry,,,125.0,,0.56,
Akhtala (Alaverdi),Armenia,VMS,,,1.2,,0.58,
Alaverdi (Alaverdi),Armenia,VMS,,,1.2,,5.6,
Ankavan,Armenia,Porphyry-Skarn,,,115.0,,0.57,
Armanis-Sagamar,Armenia,VMS,,,16.3296,,0.9,
Drmbon (Mehmana),Armenia,VMS,Possibly porphyry,,3.0,,0.9,
Kajaran (Kadjaran),Armenia,Porphyry,,,2107.6,,0.236199095,
Madneuli (Armenia),Armenia,VMS,Transitional to epithermal,,60.0,,0.35,
Marjan,Armenia,Epithermal,,,15.4,,0.8,
Kapan (Shahumyan),Armenia,Epithermal,,,14.7,,0.5054421769,
Kavarta,Armenia,Porphyry-Skarn,,,466.3,,0.09,
Teghout,Armenia,Porphyry,,,459.244,,0.3602372595,
Shamlugh,Armenia,VMS,,,4.5,,3.54,
Anaconda,Australia,VMS,,,0.877,,0.96,
Angas,Australia,Sediment-hosted Pb-Zn,Sedex,clastic-hosted,0.91,,0.22,
Area 55,Australia,Magmatic Sulphide,Sediment-hosted polymetallic,,5.48,,0.78,
Baal Gammon,Australia,Skarn,,,2.786798,,1.0,
Balcooma-Surveyor-Dry River South,Australia,VMS,,,2.745307,,1.619776254,
Bali Lo (Bali Hi),Australia,Epithermal,Low sulphidation?,,0.09,,1.3,
Bamboo Creek-Breens,Australia,Orogenic Au,,,2.6,,0.52,
Ban Ban,Australia,Skarn,,,1.5,,0.07,
Barbara-Lillymay,Australia,Sediment-hosted Pb-Zn,Sedex?,Mount Isa,4.97137,,1.623535685,
Barbara North,Australia,Sediment-hosted Pb-Zn,Sedex?,Mount Isa,0.74,,1.23,
Barrow Creek-Home of Bullion,Australia,VMS,,,2.5,,1.8,
Belara,Australia,VMS,,,3.8,,0.4,
Ben Hur-John Hill,Australia,Porphyry,,,62.0,,0.3,
Ben Mohr,Australia,Porphyry,,,20.0,,0.3,
Bentley,Australia,VMS,,,2.855,1.286,1.6,1.8
Big Stubby,Australia,VMS,,,0.15,,0.2,
Boddington,Australia,Porphyry,Au,,785.2,549.1,0.1070937341,0.1070424331
Brown's / Brown's East,Australia,Magmatic Sulphide,Sediment-hosted polymetallic,,70.54,,0.8366572158,
Browns Reef,Australia,Orogenic Au,Slate belt Au,,3.3,,0.3545454545,
Burns Peak,Australia,VMS,,,0.117,,0.182991453,
Bushranger,Australia,Porphyry,,,52.5,,0.3474285714,
Cadia East,Australia,Porphyry,Au,,2861.5,1500.0,0.2599720426,0.27
Cadia Hill,Australia,Porphyry,Au,,299.0,90.0,0.1617056856,0.1474444444
Camp Dome (17 Mile Hill),Australia,Intrusion-Related Au?/Skarn?,,,6.0,,0.47,
Canbelego,Australia,Orogenic Au,Slate belt Au,,1.5,,1.2,
Carlow Castle-Carlow Castle South,Australia,Orogenic Au,,,2.296,,0.768989547,
Carr Boyd Rocks,Australia,Magmatic Sulphide,Archean Komatiite,Extrusive-type,0.601,,0.4642262895,
Carrapateena,Australia,IOCG,Olympic Dam-type,,800.0,270.0,0.8,0.9
Carson No. 9,Australia,VMS?,,,1.84,,0.51,
Chakola-Harnett Central,Australia,VMS,,,1.22,,0.5,
